tconst,startYear,primaryTitle,CreativeType,ProductionBudget,DomesticBoxOffice,WorldwideBoxOffice,averageRating,ROI,PROI
tt0540583,1988,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.8,"$4,856,688 ",0.37 
tt0550722,2003,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",8.1,"($25,684,211)",(0.86)
tt0562692,2004,The Great Wall,Historical Fiction,"$150,000,000 ","$45,157,105 ","$334,486,852 ",6.4,"$184,486,852 ",1.23 
tt0568494,1999,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",7.9,"($25,684,211)",(0.86)
tt0572587,1989,Suicide Squad,Super Hero,"$175,000,000 ","$325,100,054 ","$745,744,980 ",8.3,"$570,744,980 ",3.26 
tt0617331,2003,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",8.1,"($25,684,211)",(0.86)
tt0629637,2004,Criminal,Science Fiction,"$31,500,000 ","$14,708,696 ","$38,771,262 ",8.1,"$7,271,262 ",0.23 
tt0631664,1990,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.4,"$4,856,688 ",0.37 
tt0657590,1997,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",8.0,"($25,684,211)",(0.86)
tt0672554,2000,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.3,"$4,856,688 ",0.37 
tt0700767,1992,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",7.3,"($25,684,211)",(0.86)
tt0704440,1998,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",5.6,"($25,684,211)",(0.86)
tt0707117,1997,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",7.5,"$668,058,221 ",4.45 
tt0707893,1983,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",8.7,"$4,856,688 ",0.37 
tt0708683,1990,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.7,"$4,856,688 ",0.37 
tt0765010,2009,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.1,"$4,856,688 ",0.37 
tt0803096,2016,Warcraft,Fantasy,"$160,000,000 ","$47,365,290 ","$438,899,824 ",6.7,"$278,899,824 ",1.74 
tt0838335,2006,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",4.9,"($25,684,211)",(0.86)
tt0850748,1993,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",6.8,"$4,856,688 ",0.37 
tt0853091,2006,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",6.3,"$4,856,688 ",0.37 
tt0880607,2003,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.0,"$4,856,688 ",0.37 
tt0883460,1991,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",6.0,"$4,856,688 ",0.37 
tt0910865,2007,Doctor Strange,Super Hero,"$165,000,000 ","$232,641,920 ","$676,354,481 ",6.6,"$511,354,481 ",3.10 
tt0928345,2007,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.8,"$4,856,688 ",0.37 
tt0968687,1960,Dunkirk,Dramatization,"$150,000,000 ","$190,068,280 ","$518,058,826 ",9.4,"$368,058,826 ",2.45 
tt0974015,2017,Justice League,Super Hero,"$300,000,000 ","$229,024,295 ","$655,945,209 ",6.1,"$355,945,209 ",1.19 
tt10070756,2018,Captain America: Civil War,Super Hero,"$250,000,000 ","$408,084,349 ","$1,151,918,521 ",7.9,"$901,918,521 ",3.61 
tt10128930,2018,Spider-Man: Homecoming,Super Hero,"$175,000,000 ","$334,201,140 ","$878,346,440 ",8.4,"$703,346,440 ",4.02 
tt10177724,2018,Justice League,Super Hero,"$300,000,000 ","$229,024,295 ","$655,945,209 ",9.3,"$355,945,209 ",1.19 
tt10555938,2019,Dangal,Dramatization,"$9,500,000 ","$12,391,761 ","$305,149,461 ",6.4,"$295,649,461 ",31.12 
tt1095944,2007,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.3,"$4,856,688 ",0.37 
tt11018076,2019,Justice League,Super Hero,"$300,000,000 ","$229,024,295 ","$655,945,209 ",7.2,"$355,945,209 ",1.19 
tt1121801,2007,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",6.1,"$4,856,688 ",0.37 
