tconst,startYear,primaryTitle,CreativeType,ProductionBudget,DomesticBoxOffice,WorldwideBoxOffice,averageRating,ROI,PROI
tt4158096,2016,Free Fire,Historical Fiction,"$10,000,000 ","$1,799,322 ","$3,793,739 ",6.3,"($6,206,261)",(0.62)
tt4196776,2016,Jason Bourne,Contemporary Fiction,"$120,000,000 ","$162,192,920 ","$416,168,316 ",6.6,"$296,168,316 ",2.47 
tt4205944,2015,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",5.2,"$4,856,688 ",0.37 
tt4257830,2015,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",6.7,"$4,856,688 ",0.37 
tt4283448,2016,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",6.8,"$668,058,221 ",4.45 
tt4445162,2015,Kingsman: The Secret Service,Contemporary Fiction,"$94,000,000 ","$128,261,724 ","$404,561,724 ",7.1,"$310,561,724 ",3.30 
tt4511046,2015,Chappie,Science Fiction,"$49,000,000 ","$31,569,268 ","$105,002,056 ",7.3,"$56,002,056 ",1.14 
tt4511978,2015,Kingsman: The Secret Service,Contemporary Fiction,"$94,000,000 ","$128,261,724 ","$404,561,724 ",8.8,"$310,561,724 ",3.30 
tt4511982,2015,Kingsman: The Secret Service,Contemporary Fiction,"$94,000,000 ","$128,261,724 ","$404,561,724 ",7.0,"$310,561,724 ",3.30 
tt4604438,2015,Fantastic Four,Super Hero,"$120,000,000 ","$56,117,548 ","$167,849,187 ",7.2,"$47,849,187 ",0.40 
tt4649466,2017,Kingsman: The Golden Circle,Contemporary Fiction,"$104,000,000 ","$100,234,838 ","$408,803,696 ",6.7,"$304,803,696 ",2.93 
tt4675692,2015,Avengers: Age of Ultron,Super Hero,"$365,000,000 ","$459,005,868 ","$1,395,316,979 ",8.3,"$1,030,316,979 ",2.82 
tt4692522,2015,Mad Max: Fury Road,Science Fiction,"$150,000,000 ","$153,636,354 ","$367,457,874 ",8.0,"$217,457,874 ",1.45 
tt4692600,2015,Jurassic World,Science Fiction,"$215,000,000 ","$652,306,625 ","$1,669,979,967 ",5.4,"$1,454,979,967 ",6.77 
tt4692602,2015,Jupiter Ascending,Science Fiction,"$179,000,000 ","$47,482,519 ","$181,982,519 ",7.5,"$2,982,519 ",0.02 
tt4695938,2015,Jupiter Ascending,Science Fiction,"$179,000,000 ","$47,482,519 ","$181,982,519 ",7.4,"$2,982,519 ",0.02 
tt4767962,2015,Jurassic World,Science Fiction,"$215,000,000 ","$652,306,625 ","$1,669,979,967 ",7.5,"$1,454,979,967 ",6.77 
tt4793268,2015,Jurassic World,Science Fiction,"$215,000,000 ","$652,306,625 ","$1,669,979,967 ",7.8,"$1,454,979,967 ",6.77 
tt4832640,2016,Sultan,Contemporary Fiction,"$11,000,000 ","$5,599,781 ","$72,989,781 ",7.0,"$61,989,781 ",5.64 
tt4849438,2017,Baahubali 2: The Conclusion,Historical Fiction,"$30,000,000 ","$18,985,794 ","$263,502,914 ",8.2,"$233,502,914 ",7.78 
tt4858902,2015,Ant-Man,Super Hero,"$130,000,000 ","$180,202,163 ","$518,858,449 ",7.3,"$388,858,449 ",2.99 
tt4888180,2015,Ant-Man,Super Hero,"$130,000,000 ","$180,202,163 ","$518,858,449 ",7.4,"$388,858,449 ",2.99 
tt4921514,2013,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.5,"$4,856,688 ",0.37 
tt4924758,2015,Fantastic Four,Super Hero,"$120,000,000 ","$56,117,548 ","$167,849,187 ",7.5,"$47,849,187 ",0.40 
tt4930642,2015,Fantastic Four,Super Hero,"$120,000,000 ","$56,117,548 ","$167,849,187 ",7.8,"$47,849,187 ",0.40 
tt4952376,2015,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.4,"$4,856,688 ",0.37 
tt4952942,2015,Kingsman: The Secret Service,Contemporary Fiction,"$94,000,000 ","$128,261,724 ","$404,561,724 ",7.2,"$310,561,724 ",3.30 
tt4955856,2015,Mad Max: Fury Road,Science Fiction,"$150,000,000 ","$153,636,354 ","$367,457,874 ",6.2,"$217,457,874 ",1.45 
tt4962966,2015,Hitman: Agent 47,Contemporary Fiction,"$35,000,000 ","$22,467,450 ","$82,182,803 ",7.4,"$47,182,803 ",1.35 
tt4969926,2015,Mad Max: Fury Road,Science Fiction,"$150,000,000 ","$153,636,354 ","$367,457,874 ",7.6,"$217,457,874 ",1.45 
tt5013056,2017,Dunkirk,Dramatization,"$150,000,000 ","$190,068,280 ","$518,058,826 ",7.8,"$368,058,826 ",2.45 
tt5030954,2015,Furious 7,Contemporary Fiction,"$190,000,000 ","$353,007,020 ","$1,514,553,486 ",7.5,"$1,324,553,486 ",6.97 
tt5068498,2015,Avengers: Age of Ultron,Super Hero,"$365,000,000 ","$459,005,868 ","$1,395,316,979 ",7.7,"$1,030,316,979 ",2.82 
tt5074352,2016,Dangal,Dramatization,"$9,500,000 ","$12,391,761 ","$305,149,461 ",8.3,"$295,649,461 ",31.12 
tt5109030,2015,Jurassic World,Science Fiction,"$215,000,000 ","$652,306,625 ","$1,669,979,967 ",7.6,"$1,454,979,967 ",6.77 
tt5187500,2015,Jurassic World,Science Fiction,"$215,000,000 ","$652,306,625 ","$1,669,979,967 ",6.8,"$1,454,979,967 ",6.77 
tt5222414,2016,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",7.2,"($25,684,211)",(0.86)
tt5224274,1977,Dangal,Dramatization,"$9,500,000 ","$12,391,761 ","$305,149,461 ",3.5,"$295,649,461 ",31.12 
tt5257390,2015,Ant-Man,Super Hero,"$130,000,000 ","$180,202,163 ","$518,858,449 ",7.3,"$388,858,449 ",2.99 
tt5289938,2015,Avengers: Age of Ultron,Super Hero,"$365,000,000 ","$459,005,868 ","$1,395,316,979 ",6.5,"$1,030,316,979 ",2.82 
tt5289942,2015,Ant-Man,Super Hero,"$130,000,000 ","$180,202,163 ","$518,858,449 ",7.0,"$388,858,449 ",2.99 
tt5327988,2013,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.8,"$4,856,688 ",0.37 
tt5430990,2016,Spectre,Contemporary Fiction,"$300,000,000 ","$200,074,175 ","$879,500,760 ",7.1,"$579,500,760 ",1.93 
tt5464160,2016,Deadpool,Super Hero,"$58,000,000 ","$363,070,709 ","$781,947,691 ",6.3,"$723,947,691 ",12.48 
tt5476254,2016,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",6.9,"$4,856,688 ",0.37 
tt5523012,2016,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",8.8,"$668,058,221 ",4.45 
tt5532686,2016,The Divergent Series: Insurgent,Science Fiction,"$110,000,000 ","$130,179,072 ","$295,075,882 ",7.0,"$185,075,882 ",1.68 
tt5593820,2016,The Divergent Series: Allegiant,Science Fiction,"$110,000,000 ","$66,184,051 ","$172,022,517 ",5.4,"$62,022,517 ",0.56 
tt5637874,2016,Hardcore Henry,Science Fiction,"$2,000,000 ","$9,252,038 ","$17,187,434 ",7.6,"$15,187,434 ",7.59 
tt5702406,2016,Captain America: Civil War,Super Hero,"$250,000,000 ","$408,084,349 ","$1,151,918,521 ",7.8,"$901,918,521 ",3.61 
tt5709996,2016,Deadpool,Super Hero,"$58,000,000 ","$363,070,709 ","$781,947,691 ",7.9,"$723,947,691 ",12.48 
tt5767174,2016,X-Men: Apocalypse,Super Hero,"$178,000,000 ","$155,442,489 ","$542,537,546 ",7.4,"$364,537,546 ",2.05 
tt5773460,2017,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",8.0,"$4,856,688 ",0.37 
tt5789600,2016,Warcraft,Fantasy,"$160,000,000 ","$47,365,290 ","$438,899,824 ",6.1,"$278,899,824 ",1.74 
tt5803522,2015,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",6.7,"$4,856,688 ",0.37 
tt5838850,2016,Independence Day: Resurgence,Science Fiction,"$165,000,000 ","$103,144,286 ","$384,169,424 ",7.5,"$219,169,424 ",1.33 
tt5895320,2016,Batman v Superman: Dawn of Justice,Super Hero,"$263,000,000 ","$330,360,194 ","$872,395,091 ",7.9,"$609,395,091 ",2.32 
tt5898534,2015,Jurassic World,Science Fiction,"$215,000,000 ","$652,306,625 ","$1,669,979,967 ",8.4,"$1,454,979,967 ",6.77 
tt5898580,2015,Ant-Man,Super Hero,"$130,000,000 ","$180,202,163 ","$518,858,449 ",9.2,"$388,858,449 ",2.99 
tt5898592,2015,Spectre,Contemporary Fiction,"$300,000,000 ","$200,074,175 ","$879,500,760 ",8.4,"$579,500,760 ",1.93 
tt5898614,2016,Captain America: Civil War,Super Hero,"$250,000,000 ","$408,084,349 ","$1,151,918,521 ",9.3,"$901,918,521 ",3.61 
tt5898636,2016,Suicide Squad,Super Hero,"$175,000,000 ","$325,100,054 ","$745,744,980 ",7.6,"$570,744,980 ",3.26 
tt5899794,2016,X-Men: Apocalypse,Super Hero,"$178,000,000 ","$155,442,489 ","$542,537,546 ",7.7,"$364,537,546 ",2.05 
tt5899822,2016,Doctor Strange,Super Hero,"$165,000,000 ","$232,641,920 ","$676,354,481 ",8.0,"$511,354,481 ",3.10 
tt5911540,2013,Dangal,Dramatization,"$9,500,000 ","$12,391,761 ","$305,149,461 ",4.2,"$295,649,461 ",31.12 
tt5946824,2016,Suicide Squad,Super Hero,"$175,000,000 ","$325,100,054 ","$745,744,980 ",8.1,"$570,744,980 ",3.26 
tt5999866,2016,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",8.6,"$668,058,221 ",4.45 
tt6057570,2016,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",6.0,"$668,058,221 ",4.45 
tt6059852,2016,Captain America: Civil War,Super Hero,"$250,000,000 ","$408,084,349 ","$1,151,918,521 ",7.2,"$901,918,521 ",3.61 
tt6071636,2016,Justice League,Super Hero,"$300,000,000 ","$229,024,295 ","$655,945,209 ",8.7,"$355,945,209 ",1.19 
tt6101842,2016,Warcraft,Fantasy,"$160,000,000 ","$47,365,290 ","$438,899,824 ",7.1,"$278,899,824 ",1.74 
tt6165704,2017,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",8.8,"$4,856,688 ",0.37 
tt6225304,2016,Doctor Strange,Super Hero,"$165,000,000 ","$232,641,920 ","$676,354,481 ",7.7,"$511,354,481 ",3.10 
tt6228850,2016,Independence Day: Resurgence,Science Fiction,"$165,000,000 ","$103,144,286 ","$384,169,424 ",7.3,"$219,169,424 ",1.33 
tt6235024,2012,Fantastic Four,Super Hero,"$120,000,000 ","$56,117,548 ","$167,849,187 ",9.0,"$47,849,187 ",0.40 
tt6299354,2016,Suicide Squad,Super Hero,"$175,000,000 ","$325,100,054 ","$745,744,980 ",8.6,"$570,744,980 ",3.26 
tt6311660,2016,Suicide Squad,Super Hero,"$175,000,000 ","$325,100,054 ","$745,744,980 ",7.5,"$570,744,980 ",3.26 
tt6314294,2017,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.0,"$4,856,688 ",0.37 
tt6349090,2013,Deadpool,Super Hero,"$58,000,000 ","$363,070,709 ","$781,947,691 ",7.9,"$723,947,691 ",12.48 
tt6353130,2013,Justice League,Super Hero,"$300,000,000 ","$229,024,295 ","$655,945,209 ",7.0,"$355,945,209 ",1.19 
tt6353182,2013,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",8.6,"$668,058,221 ",4.45 
tt6439856,2017,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",8.3,"$4,856,688 ",0.37 
tt6447400,2016,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",4.5,"$4,856,688 ",0.37 
tt6587146,2017,Doctor Strange,Super Hero,"$165,000,000 ","$232,641,920 ","$676,354,481 ",7.2,"$511,354,481 ",3.10 
tt6647510,2017,Logan,Super Hero,"$127,000,000 ","$226,277,068 ","$614,202,315 ",8.1,"$487,202,315 ",3.84 
tt6766076,2017,Suicide Squad,Super Hero,"$175,000,000 ","$325,100,054 ","$745,744,980 ",6.8,"$570,744,980 ",3.26 
tt6923602,2017,Logan,Super Hero,"$127,000,000 ","$226,277,068 ","$614,202,315 ",7.3,"$487,202,315 ",3.84 
tt6950306,2017,Transformers: The Last Knight,Science Fiction,"$217,000,000 ","$130,168,683 ","$602,893,340 ",7.3,"$385,893,340 ",1.78 
tt6950308,2017,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",7.5,"$668,058,221 ",4.45 
tt6974246,2017,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",8.0,"$668,058,221 ",4.45 
tt7027740,2017,Spider-Man: Homecoming,Super Hero,"$175,000,000 ","$334,201,140 ","$878,346,440 ",8.3,"$703,346,440 ",4.02 
tt7146248,2017,War for the Planet of the Apes,Science Fiction,"$152,000,000 ","$146,880,162 ","$489,592,267 ",6.8,"$337,592,267 ",2.22 
tt7229678,2015,Taken 3,Contemporary Fiction,"$48,000,000 ","$89,256,424 ","$327,656,424 ",5.9,"$279,656,424 ",5.83 
tt7229696,2015,Mortdecai,Contemporary Fiction,"$60,000,000 ","$7,696,134 ","$30,396,134 ",5.7,"($29,603,866)",(0.49)
tt7229702,2015,Jupiter Ascending,Science Fiction,"$179,000,000 ","$47,482,519 ","$181,982,519 ",7.2,"$2,982,519 ",0.02 
tt7229716,2015,Kingsman: The Secret Service,Contemporary Fiction,"$94,000,000 ","$128,261,724 ","$404,561,724 ",5.7,"$310,561,724 ",3.30 
tt7233384,2015,Avengers: Age of Ultron,Super Hero,"$365,000,000 ","$459,005,868 ","$1,395,316,979 ",5.4,"$1,030,316,979 ",2.82 
tt7233440,2015,Mad Max: Fury Road,Science Fiction,"$150,000,000 ","$153,636,354 ","$367,457,874 ",6.2,"$217,457,874 ",1.45 
tt7233556,2015,Jurassic World,Science Fiction,"$215,000,000 ","$652,306,625 ","$1,669,979,967 ",6.6,"$1,454,979,967 ",6.77 
tt7233584,2015,Terminator: Genisys,Science Fiction,"$155,000,000 ","$89,760,956 ","$432,150,894 ",5.9,"$277,150,894 ",1.79 
tt7233606,2015,Ant-Man,Super Hero,"$130,000,000 ","$180,202,163 ","$518,858,449 ",5.8,"$388,858,449 ",2.99 
tt7233654,2015,Fantastic Four,Super Hero,"$120,000,000 ","$56,117,548 ","$167,849,187 ",7.4,"$47,849,187 ",0.40 
tt7233674,2015,Hitman: Agent 47,Contemporary Fiction,"$35,000,000 ","$22,467,450 ","$82,182,803 ",5.6,"$47,182,803 ",1.35 
tt7237650,2015,The Last Witch Hunter,Fantasy,"$80,000,000 ","$27,367,660 ","$130,818,912 ",7.0,"$50,818,912 ",0.64 
tt7237748,2015,Point Break,Contemporary Fiction,"$100,000,000 ","$28,782,481 ","$126,704,591 ",5.8,"$26,704,591 ",0.27 
tt7237776,2016,The 5th Wave,Science Fiction,"$38,000,000 ","$34,912,982 ","$111,336,398 ",9.0,"$73,336,398 ",1.93 
tt7237804,2016,Deadpool,Super Hero,"$58,000,000 ","$363,070,709 ","$781,947,691 ",6.2,"$723,947,691 ",12.48 
tt7241290,2016,Captain America: Civil War,Super Hero,"$250,000,000 ","$408,084,349 ","$1,151,918,521 ",6.3,"$901,918,521 ",3.61 
tt7241292,2016,X-Men: Apocalypse,Super Hero,"$178,000,000 ","$155,442,489 ","$542,537,546 ",7.0,"$364,537,546 ",2.05 
tt7241448,2016,Warcraft,Fantasy,"$160,000,000 ","$47,365,290 ","$438,899,824 ",7.4,"$278,899,824 ",1.74 
tt7241472,2016,Independence Day: Resurgence,Science Fiction,"$165,000,000 ","$103,144,286 ","$384,169,424 ",5.2,"$219,169,424 ",1.33 
tt7244474,2016,Jason Bourne,Contemporary Fiction,"$120,000,000 ","$162,192,920 ","$416,168,316 ",7.0,"$296,168,316 ",2.47 
tt7244516,2016,Suicide Squad,Super Hero,"$175,000,000 ","$325,100,054 ","$745,744,980 ",5.8,"$570,744,980 ",3.26 
tt7244902,2016,Doctor Strange,Super Hero,"$165,000,000 ","$232,641,920 ","$676,354,481 ",5.6,"$511,354,481 ",3.10 
tt7247890,2017,Underworld: Blood Wars,Fantasy,"$35,000,000 ","$30,353,973 ","$81,209,222 ",3.6,"$46,209,222 ",1.32 
tt7248070,2017,Logan,Super Hero,"$127,000,000 ","$226,277,068 ","$614,202,315 ",5.8,"$487,202,315 ",3.84 
tt7248196,2017,Free Fire,Historical Fiction,"$10,000,000 ","$1,799,322 ","$3,793,739 ",4.7,"($6,206,261)",(0.62)
tt7248862,2017,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",6.9,"$668,058,221 ",4.45 
tt7249108,2017,War for the Planet of the Apes,Science Fiction,"$152,000,000 ","$146,880,162 ","$489,592,267 ",7.2,"$337,592,267 ",2.22 
tt7249114,2017,Spider-Man: Homecoming,Super Hero,"$175,000,000 ","$334,201,140 ","$878,346,440 ",5.9,"$703,346,440 ",4.02 
tt7249134,2017,Dunkirk,Dramatization,"$150,000,000 ","$190,068,280 ","$518,058,826 ",5.6,"$368,058,826 ",2.45 
tt7249258,2017,Ant-Man,Super Hero,"$130,000,000 ","$180,202,163 ","$518,858,449 ",6.5,"$388,858,449 ",2.99 
tt7328238,2017,Thor: Ragnarok,Super Hero,"$180,000,000 ","$315,058,289 ","$850,482,778 ",8.3,"$670,482,778 ",3.72 
tt7396054,2017,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",7.3,"$668,058,221 ",4.45 
tt7408314,2017,Kingsman: The Golden Circle,Contemporary Fiction,"$104,000,000 ","$100,234,838 ","$408,803,696 ",6.2,"$304,803,696 ",2.93 
tt7443516,2017,American Made,Dramatization,"$50,000,000 ","$51,342,000 ","$135,569,212 ",5.2,"$85,569,212 ",1.71 
tt7472396,2017,Kingsman: The Golden Circle,Contemporary Fiction,"$104,000,000 ","$100,234,838 ","$408,803,696 ",8.0,"$304,803,696 ",2.93 
tt7535780,2016,The Great Wall,Historical Fiction,"$150,000,000 ","$45,157,105 ","$334,486,852 ",6.4,"$184,486,852 ",1.23 
tt7535854,2017,Ant-Man,Super Hero,"$130,000,000 ","$180,202,163 ","$518,858,449 ",9.2,"$388,858,449 ",2.99 
tt7578224,2017,Thor: Ragnarok,Super Hero,"$180,000,000 ","$315,058,289 ","$850,482,778 ",6.9,"$670,482,778 ",3.72 
tt7578942,2017,Spider-Man: Homecoming,Super Hero,"$175,000,000 ","$334,201,140 ","$878,346,440 ",7.3,"$703,346,440 ",4.02 
tt7600952,2017,Thor: Ragnarok,Super Hero,"$180,000,000 ","$315,058,289 ","$850,482,778 ",8.4,"$670,482,778 ",3.72 
tt7604378,2017,Thor: Ragnarok,Super Hero,"$180,000,000 ","$315,058,289 ","$850,482,778 ",7.8,"$670,482,778 ",3.72 
tt7637314,2017,Justice League,Super Hero,"$300,000,000 ","$229,024,295 ","$655,945,209 ",6.1,"$355,945,209 ",1.19 
tt7644786,2018,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",7.3,"($25,684,211)",(0.86)
tt7649882,2017,Justice League,Super Hero,"$300,000,000 ","$229,024,295 ","$655,945,209 ",8.6,"$355,945,209 ",1.19 
tt7944852,2018,Transformers: The Last Knight,Science Fiction,"$217,000,000 ","$130,168,683 ","$602,893,340 ",7.5,"$385,893,340 ",1.78 
tt7989084,2001,Sultan,Contemporary Fiction,"$11,000,000 ","$5,599,781 ","$72,989,781 ",4.9,"$61,989,781 ",5.64 
tt8036402,2018,Justice League,Super Hero,"$300,000,000 ","$229,024,295 ","$655,945,209 ",7.3,"$355,945,209 ",1.19 
tt8101112,2018,Thor: Ragnarok,Super Hero,"$180,000,000 ","$315,058,289 ","$850,482,778 ",7.4,"$670,482,778 ",3.72 
tt8510174,2021,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",8.1,"$4,856,688 ",0.37 
tt8655740,2018,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",5.8,"$4,856,688 ",0.37 
tt8743238,2018,Point Break,Contemporary Fiction,"$100,000,000 ","$28,782,481 ","$126,704,591 ",8.4,"$26,704,591 ",0.27 
tt8954646,2019,Dunkirk,Dramatization,"$150,000,000 ","$190,068,280 ","$518,058,826 ",6.9,"$368,058,826 ",2.45 
tt9005732,1973,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.9,"$4,856,688 ",0.37 
tt9041844,2018,Captain America: Civil War,Super Hero,"$250,000,000 ","$408,084,349 ","$1,151,918,521 ",7.7,"$901,918,521 ",3.61 
tt9041868,2018,Suicide Squad,Super Hero,"$175,000,000 ","$325,100,054 ","$745,744,980 ",7.1,"$570,744,980 ",3.26 
tt9041874,2018,Transformers: The Last Knight,Science Fiction,"$217,000,000 ","$130,168,683 ","$602,893,340 ",7.2,"$385,893,340 ",1.78 
tt9041886,2018,Avengers: Age of Ultron,Super Hero,"$365,000,000 ","$459,005,868 ","$1,395,316,979 ",7.4,"$1,030,316,979 ",2.82 
tt9041894,2018,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",7.8,"$668,058,221 ",4.45 
tt9041896,2018,Deadpool,Super Hero,"$58,000,000 ","$363,070,709 ","$781,947,691 ",6.9,"$723,947,691 ",12.48 
tt9041906,2018,Doctor Strange,Super Hero,"$165,000,000 ","$232,641,920 ","$676,354,481 ",7.9,"$511,354,481 ",3.10 
tt9041912,2018,Ant-Man,Super Hero,"$130,000,000 ","$180,202,163 ","$518,858,449 ",7.6,"$388,858,449 ",2.99 
tt9093042,2019,Suicide Squad,Super Hero,"$175,000,000 ","$325,100,054 ","$745,744,980 ",8.9,"$570,744,980 ",3.26 
tt9143930,2018,Logan,Super Hero,"$127,000,000 ","$226,277,068 ","$614,202,315 ",6.9,"$487,202,315 ",3.84 
tt9197514,2017,Free Fire,Historical Fiction,"$10,000,000 ","$1,799,322 ","$3,793,739 ",4.6,"($6,206,261)",(0.62)
tt9504090,2018,Thor: Ragnarok,Super Hero,"$180,000,000 ","$315,058,289 ","$850,482,778 ",7.8,"$670,482,778 ",3.72 
tt9614314,2019,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",9.0,"$4,856,688 ",0.37 
tt9642548,2019,Sultan,Contemporary Fiction,"$11,000,000 ","$5,599,781 ","$72,989,781 ",8.8,"$61,989,781 ",5.64 
tt9653458,2019,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",6.4,"$4,856,688 ",0.37 
tt9796810,2019,X-Men: Apocalypse,Super Hero,"$178,000,000 ","$155,442,489 ","$542,537,546 ",7.9,"$364,537,546 ",2.05 
